id,web_name,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,status,chance_of_playing_next_round
1,Raya,60,39.3,32903,7315,a,
2,Arrizabalaga,49,0.1,16,74,a,
3,Meslier,49,0.0,16,34,a,
4,Gabriel,80,23.7,5149,15097,a,
5,J.Timber,65,0.1,2091,207,a,100.0
6,Saliba,59,0.2,85,342,i,0.0
7,Lewis-Skelly,55,0.7,517,1572,a,
8,Calafiori,58,49.5,41522,5999,a,
9,Hincapie,53,1.0,432,2489,a,
10,White,55,7.4,6544,30451,a,100.0
11,Mosquera,54,2.4,31,13222,d,50.0
12,Saka,95,11.4,13212,7571,a,
13,Rice,74,12.9,2889,11689,a,
14,Eze,63,1.2,362,2990,a,
15,Ødegaard,67,18.6,45458,9814,a,
16,Madueke,63,0.2,70,521,a,
17,Merino,58,0.4,180,1108,a,
18,Martinelli,63,0.1,0,286,u,0.0
19,Zubimendi,53,0.7,147,1496,a,
20,Dowman,53,0.1,64,146,a,
22,Nwaneri,54,0.0,0,19,u,0.0
23,Fábio Vieira,55,0.0,0,9,u,0.0
24,Nelson,55,0.0,0,11,u,0.0
25,Gyökeres,72,3.6,498,8450,a,
26,Havertz,76,8.1,15924,9816,a,
27,G.Jesus,59,0.2,0,406,u,0.0
31,Konsa,45,17.1,50776,5084,a,
452,Bruno G.,67,1.7,1915,1917,a,100.0
557,Tzolis,64,15.7,4666,36892,a,
29,M.Bizot,45,0.1,50,163,a,
30,Digne,45,0.1,0,88,u,0.0
32,Cash,45,5.9,167,19318,d,75.0
33,Mings,45,0.4,348,591,a,
34,Pau,45,0.4,139,972,d,75.0
35,Bogarde,50,0.1,69,135,a,
36,Maatsen,45,0.8,452,3566,d,25.0
37,Lindelöf,45,0.3,375,297,a,
38,A.García,40,1.6,1257,1629,a,
39,Nedeljkovic,40,0.1,0,172,u,0.0
41,Buendía,59,1.0,444,3423,a,
44,Bailey,54,0.1,0,287,u,0.0
45,McGinn,54,2.3,1992,2683,a,
46,Barkley,50,0.3,255,481,a,
47,Kamara,50,0.3,270,607,a,100.0
48,Onana,49,0.0,8,31,i,0.0
49,Iling Jr,50,0.0,0,5,u,0.0
50,Burrowes,45,0.6,344,933,a,
51,George Hemmings,45,1.3,2253,1794,a,
52,Alysson,50,0.0,189,47,a,
53,Manzambi,59,0.1,261,150,a,100.0
54,Gomes,55,0.0,52,43,a,100.0
55,Watkins,78,2.9,0,6466,u,0.0
56,Abraham,55,0.2,285,324,a,100.0
160,Garnacho,58,0.4,95,1309,a,
166,N.Jackson,65,1.3,1847,5152,a,
582,Madjo,54,0.2,26,638,i,0.0
596,Ruggeri,45,0.1,54,192,a,
597,Suzuki,50,1.8,2969,2110,a,
606,Rowe,40,0.2,315,196,a,
607,Lynch,45,0.1,0,220,u,0.0
611,Wan-Bissaka,45,0.2,627,198,a,
618,Goretzka,60,0.0,7,339,i,0.0
630,Harwood-Bellis,45,0.0,45,55,a,
631,Mbaye,60,0.1,258,221,a,
57,Petrović,45,3.2,931,3065,a,
58,Forster,40,3.4,2684,1348,a,
59,Dennis,40,0.1,0,142,u,0.0
60,Hill,55,0.8,502,1237,a,
61,Truffert,55,3.4,888,3399,a,
62,Diakité,50,0.2,118,352,a,
63,Milosavljević,49,0.0,5,18,i,0.0
64,Smith,45,0.1,141,232,a,
65,J.Araujo,44,0.0,8,19,i,0.0
66,Soler,40,0.3,415,254,a,100.0
67,Rayan,64,1.9,363,5791,a,
68,Tavernier,60,4.1,34415,3298,a,
69,Scott,61,5.9,14137,9135,a,
70,Kluivert,60,1.0,1930,1075,a,
71,Cook,50,0.2,112,639,a,
72,Gannon-Doak,49,0.1,46,95,a,
73,Adams,50,0.3,394,571,a,100.0
74,Brooks,50,0.1,53,133,a,100.0
75,Christie,50,0.0,67,82,a,100.0
76,Tóth.A,50,0.0,12,17,a,
77,Adli,49,0.0,7,38,i,0.0
78,Kroupi.Jr,74,0.2,23,305,i,0.0
79,Evanilson,60,3.3,6975,4228,a,
80,Enes Ünal,55,0.0,0,23,u,0.0
81,Rodríguez,60,0.1,96,169,a,100.0
566,Silva,50,0.4,225,496,a,
573,Sanchez,45,0.2,18,149,a,
608,Jebbison,50,0.1,262,243,a,
615,Di Gregorio,45,0.0,51,80,a,
82,Kelleher,50,6.6,1631,8187,a,
83,Valdimarsson,45,0.1,26,90,a,
84,Collins,55,1.4,14,6808,i,0.0
85,Van den Berg,49,0.1,4,103,i,0.0
86,Lewis-Potter,55,2.1,957,6990,a,
87,Ajer,45,4.6,1636,6907,a,
88,Kayode,46,8.7,3106,22101,a,
89,Henry,45,0.2,38,212,a,
90,Hickey,45,0.1,52,55,a,
92,Ji-soo,45,0.0,9,26,a,
93,Schuster,45,0.1,42,64,a,
94,Schade,60,4.2,54367,3175,a,
95,O.Dango,64,0.6,53,2311,a,
96,Damsgaard,55,0.5,177,1119,a,
97,Jensen,54,0.1,1,295,i,0.0
98,Janelt,50,2.4,6267,3704,a,
99,Milambo,50,0.0,3,5,i,0.0
100,Carvalho,50,0.0,25,58,a,100.0
102,Yarmoliuk,49,0.7,140,1082,a,
103,Dasilva,49,0.0,2,41,i,0.0
105,Anthony,59,0.1,65,356,a,
106,Thiago,79,10.4,1385,36064,a,
107,Furo,45,1.1,1711,1198,a,
108,Wilson,55,0.3,177,818,a,
565,M.Sangaré,57,12.8,3879,27488,a,
620,Diouf,45,0.1,187,297,a,
657,Nunes,45,0.0,104,16,a,
109,Verbruggen,45,22.2,5041,15909,a,
111,Steele,40,4.3,2242,1637,a,
113,F.Kadıoğlu,44,1.7,327,2054,a,100.0
114,Boscagli,45,0.3,108,282,a,
115,De Cuyper,48,22.0,17328,15695,a,
116,Dunk,45,1.4,976,1059,a,
117,Coppola,45,0.0,21,20,a,
118,Igor,45,0.0,0,119,u,0.0
119,Costinha,45,0.0,24,30,a,
120,Svoboda,50,0.1,73,75,a,
121,Mitoma,59,0.0,10,49,i,0.0
122,Minteh,59,0.0,4,72,i,0.0
123,Hinshelwood,60,0.8,17,5469,i,0.0
124,Groß,56,16.1,5360,17092,a,
125,Georginio,54,0.6,164,1504,d,75.0
126,O'Riley,55,0.1,65,133,a,
127,Gomez,50,4.9,1923,6741,a,
128,Buonanotte,50,0.0,0,3,u,0.0
129,Ayari,54,0.4,111,622,a,100.0
130,Wieffer,50,0.2,7,1058,i,0.0
132,Howell,45,0.0,0,52,u,0.0
133,Watson,50,0.0,0,3,u,0.0
134,Oriola,45,0.3,138,267,a,
135,Yohanna,49,0.0,2,177,i,0.0
137,Tzimas,54,0.0,5,13,i,0.0
138,Kostoulas,55,0.5,461,924,a,
139,Ferguson,50,0.0,29,61,i,0.0
328,Struijk,50,0.2,92,210,a,100.0
504,Vuskovic,50,3.2,2951,2757,a,
594,David,60,0.2,198,391,a,
600,Osman,50,0.0,18,25,a,
605,Yalcouyé,45,3.3,6097,4062,a,
614,Hadjam,45,0.0,66,60,a,
624,Cozier-Duberry,50,0.0,0,3,u,0.0
639,Andrés,55,0.0,35,21,a,
652,Azeez,55,0.0,12,2,d,75.0
28,Martinez,50,5.1,3373,8301,a,
40,Rogers,77,35.3,122541,3426,a,
101,Henderson,49,0.0,5,96,i,0.0
136,Welbeck,59,0.8,657,1662,a,100.0
140,Sánchez,49,0.9,0,2747,u,0.0
141,Jörgensen,50,0.0,0,7,u,0.0
142,James,54,7.6,3135,18158,a,
143,Chalobah,55,0.1,0,122,u,0.0
144,Gusto,50,1.1,635,2149,a,
145,Fofana,50,0.2,472,351,a,100.0
146,B.Badiashile,45,0.0,0,21,u,0.0
148,Hato,45,1.0,1070,3543,a,
149,Colwill,49,1.0,330,3277,a,
150,M.Sarr,45,0.0,0,66,u,0.0
151,Acheampong,45,0.4,238,938,a,
152,Palestra,53,0.8,15,4088,i,0.0
154,Palmer,97,26.8,18359,20050,a,100.0
156,Neto,65,1.4,1418,3046,a,
157,Estêvão,63,0.7,256,1909,a,
158,Gittens,59,0.0,14,55,a,
159,Caicedo,54,1.4,81,6172,i,0.0
161,Lavia,50,0.2,339,636,a,
163,D.Essugo,45,0.1,0,312,u,0.0
164,Quenda,54,0.0,14,108,a,100.0
165,João Pedro,78,74.1,53183,3027,a,
168,Marc Guiu,50,0.2,0,643,u,0.0
169,Mheuka,45,0.4,531,636,a,
170,Emegha,50,0.1,12,551,i,0.0
200,Lacroix,60,7.9,1341,20164,a,
560,Penders,44,0.1,84,71,a,
561,Anselmino,45,0.0,34,28,a,100.0
568,Barco,55,0.1,85,173,a,
583,Chavarria,49,0.2,64,248,a,
91,Pinnock,45,0.1,59,67,a,
104,Onyeka,49,0.1,49,141,a,
110,Rushworth,45,0.9,197,747,a,
171,Dovin,40,1.1,0,1447,u,0.0
172,Wilson,45,0.4,21,154,a,
173,Thomas,40,9.2,6057,3616,a,
174,Kitching,40,0.4,0,722,u,0.0
175,van Ewijk,40,10.5,2380,8560,a,
176,Dasilva,40,0.7,132,329,a,
177,Kesler-Hayden,40,0.0,11,61,i,0.0
178,Bidwell,40,0.1,68,67,a,
179,Latibeaudiere,40,0.0,28,32,a,
180,Woolfenden,40,0.1,48,147,i,0.0
181,Brau,40,0.0,0,33,u,0.0
182,Amenda,40,0.7,327,390,a,
183,Rudoni,50,0.1,43,157,a,100.0
184,Grimes,49,0.1,35,279,a,
185,Sakamoto,49,0.1,13,99,a,
186,Mason-Clark,54,0.1,13,92,a,100.0
187,Eccles,49,0.0,3,60,i,0.0
188,Torp,54,0.1,4,131,a,
189,Shepherd,45,0.2,85,293,a,
190,Tchaouna,54,0.1,7,119,a,
191,Borges Rodrigues,45,0.1,0,261,u,0.0
192,Andrews,45,0.3,0,823,u,0.0
193,Wright,54,0.1,9,145,i,0.0
194,Thomas-Asante,50,0.8,980,1175,a,
195,Simms,50,0.8,431,1109,a,
196,Markelo,50,0.0,0,22,u,0.0
197,Bassette,45,0.0,0,43,u,0.0
492,Awoniyi,55,0.6,303,914,a,
575,Yirenkyi,49,0.2,35,247,a,
584,Hamer,54,0.1,11,89,a,
599,Cherif,50,0.1,146,139,a,
623,Bentley,40,0.5,812,187,a,
655,Gboho,55,0.0,19,1,a,
656,Mfuni,40,0.1,1645,188,a,
42,Guessand,55,0.0,46,122,a,
153,Disasi,45,0.1,63,888,s,0.0
198,Henderson,50,1.9,81,12077,i,0.0
199,Benitez,45,0.1,183,90,a,
202,Richards,50,0.7,266,1029,a,
203,Canvot,49,0.2,32,559,a,
204,Mitchell,45,6.6,5172,7396,a,
205,Sosa,45,0.0,0,44,u,0.0
206,Chadi Riad,44,0.0,3,56,i,0.0
207,Mingueza,44,0.1,31,151,a,
208,Sarr,62,0.7,9,2158,i,0.0
210,Wharton,55,0.8,377,1681,a,100.0
211,Yeremy,55,0.5,263,1726,a,
212,Hughes,45,8.4,1564,10680,a,
213,Lerma,49,0.1,27,106,a,
214,Kamada,50,0.4,3409,458,a,
215,Devenny,50,0.0,0,18,u,0.0
216,Esse,50,0.0,0,69,u,0.0
217,M.França,49,0.0,0,144,u,0.0
218,Doucouré,49,0.1,39,132,a,
219,J.Rak-Sakyi,49,0.0,0,23,u,0.0
220,Cardines,45,0.0,0,1,u,0.0
221,Drakes-Thomas,45,0.1,47,116,a,
222,Strand Larsen,60,0.6,1891,753,a,
223,Mateta,63,1.6,21,4368,i,0.0
224,Nketiah,55,0.7,109,3515,d,75.0
225,Uche,50,0.0,0,0,u,0.0
241,McNeil,54,0.1,18,224,a,
555,Matthews,40,1.7,341,537,a,
577,Tomiyasu,45,0.3,43,354,a,
588,Khalaili,50,0.3,1333,371,a,
595,Gozo,50,0.0,14,17,a,
633,Ahanor,45,0.0,131,21,a,
643,Chilwell,45,0.5,679,1217,a,
644,Timber,50,0.0,213,56,a,
647,Osorio,55,0.0,20,37,a,
21,Nørgaard,49,0.0,6,87,i,0.0
209,Johnson,59,0.1,172,180,a,
226,Pickford,55,8.7,8268,4536,a,
227,Travers,50,0.0,83,64,a,
228,King,45,0.0,23,26,a,
229,Tarkowski,60,11.9,37966,3788,a,
230,Branthwaite,55,2.0,5039,1089,a,
231,Keane,48,0.9,174,1810,a,
232,O'Brien,49,0.3,85,336,a,
233,Mykolenko,45,2.3,25191,1019,a,
234,Patterson,45,0.0,0,59,u,0.0
235,Aznou,40,0.1,0,237,u,0.0
236,Dewsbury-Hall,65,4.7,11299,7270,a,
238,Grealish,65,0.4,1000,756,a,100.0
239,Garner,60,0.1,617,176,a,100.0
242,George,55,0.6,4609,842,a,
243,Alcaraz,49,0.1,60,136,a,
244,Armstrong,50,0.4,914,851,a,
245,Dibling,54,0.0,13,46,a,
246,Röhl,50,0.0,40,124,a,
247,Hackney,55,0.2,93,245,a,100.0
248,Beto,54,0.9,0,4099,u,0.0
249,Barry,56,6.3,16339,7735,a,
649,Maitland-Niles,45,0.4,6037,350,a,
654,Graham,45,0.1,556,268,a,
250,Leno,45,3.0,5150,1469,a,
251,Lecomte,40,1.1,393,405,a,
252,McNally,40,0.1,0,131,u,0.0
253,Andersen,50,0.1,226,245,a,100.0
254,Robinson,45,1.4,1485,1025,a,
255,J.Cuenca,45,0.0,10,41,a,
256,Tete,44,0.2,47,207,a,
257,Bassey,45,0.7,628,399,a,
258,Castagne,45,0.8,2322,647,a,
261,Iwobi,54,0.7,377,1310,a,
262,Smith Rowe,54,0.3,56,508,a,
263,Kevin,53,0.0,43,91,a,
264,Bobb,55,0.3,315,522,a,
265,Berge,49,0.3,268,377,a,
266,Cairney,50,0.0,3,2,i,0.0
268,King,55,1.3,9243,1913,a,
269,Sessegnon,44,0.3,63,474,a,
270,Reed,45,1.1,270,1742,a,
271,Muniz,54,0.4,398,670,a,
272,Kusi-Asare,45,6.0,3066,5987,a,
569,Gonzalo,60,3.9,3299,10038,a,
570,Palacios,55,0.2,57,377,a,
580,Charles,50,0.1,88,61,a,
610,De Fougerolles,40,0.1,0,179,u,0.0
626,Zepa,45,0.3,290,658,a,
635,Larsson,50,0.0,16,11,a,
636,Ángel,50,0.0,8,10,a,
650,Affengruber,45,0.0,350,42,a,
240,Iroegbunam,50,0.0,57,37,a,100.0
273,Phillips,40,1.4,502,708,a,
274,Butland,45,0.1,8,88,i,0.0
275,Cartwright,40,0.0,0,9,u,0.0
276,Lo-Tutala,40,0.0,0,29,u,0.0
277,Egan,41,6.5,15473,3456,a,
278,Hughes,39,0.1,640,162,i,0.0
279,Ajayi,42,13.0,45710,6897,a,100.0
280,Coyle,40,0.6,1523,353,a,100.0
281,Drameh,40,0.0,0,107,u,0.0
