id,name,pos,team_name,price,selected_by,status,pen1,prior,benched,minutes_season,xp_h,xp_next,p_start,games,starts_actual,value,start,captain
8,Calafiori,DEF,ARS,5.8,50.7,a,False,False,False,326,23.003680857886962,3.9970551387565414,0.7479999999999999,6,0.8,3.9661518720494766,True,False
12,Saka,MID,ARS,9.5,13.1,a,True,False,False,336,32.562583988843585,5.662264321262536,0.789,6,0.8,3.427640419878272,True,True
68,Tavernier,MID,BOU,6.1,6.5,a,False,False,False,350,27.574317266439724,4.246736998578832,0.814,6,0.8,4.520379879744217,True,False
94,Schade,MID,BRE,6.1,7.9,a,False,False,False,447,27.64801470580189,4.3258774912606395,0.9499999999999998,6,1.0,4.532461427180638,True,False
106,Thiago,FWD,BRE,7.8,8.9,a,True,False,False,442,27.646846403535584,4.261754088485132,0.9700000000000001,6,1.0,3.544467487632767,True,False
250,Leno,GK,FUL,4.5,3.1,a,False,False,False,360,18.144394017150614,3.0771581559562784,0.828,6,0.8,4.032087559366803,False,False
305,Davis,DEF,IPS,4.0,6.8,a,False,False,False,360,18.344659805732043,3.371686859064539,0.767,6,0.8,4.586164951433011,False,False
316,Emersonn,FWD,IPS,5.5,3.3,a,False,False,False,237,29.034443548061155,4.908783125068684,0.787,6,0.8,5.278989736011119,True,False
388,Guéhi,DEF,MCI,6.0,18.6,a,False,False,False,360,25.88759433484145,3.701056876770891,0.852,6,0.8,4.314599055806908,True,False
411,Haaland,FWD,MCI,15.6,73.3,a,True,False,False,360,37.00176234901,5.6353136644824415,0.835,6,0.8,2.3719078428852565,True,False
480,Gibbs-White,MID,NFO,8.0,16.0,a,True,False,False,360,26.92902681948945,4.456205293778432,0.854,6,0.8,3.3661283524361814,True,False
542,E.Le Fée,MID,SUN,5.7,3.5,a,False,False,False,348,24.169027613650925,3.9721819145572868,0.828,6,0.8,4.240180283096653,False,False
566,Silva,DEF,BOU,5.0,0.4,a,False,False,False,360,24.444195612940423,3.392701894528963,0.794,6,0.8,4.8888391225880845,False,False
572,Tzolakis,GK,HUL,4.6,11.5,a,False,False,False,360,22.00923684841968,3.8333520019002334,0.787,6,0.8,4.784616706178191,True,False
588,Khalaili,DEF,CRY,5.0,0.3,a,False,False,False,289,22.442636314873436,4.0623413891040085,0.637,6,0.6,4.488527262974687,True,False
